TIME , serial, 2, 4, 8, 16
10000, 0.001965, 0.001061, 0.000587, 0.000398, 0.000310
100000, 0.017475, 0.009815, 0.005005, 0.000497, 0.001819
1000000, 0.054732, 0.033545, 0.023704, 0.016388, 0.015772
10000000, 0.394721, 0.207542, 0.127200, 0.075845, 0.045707
SPEEDUP , serial, 2, 4, 8, 16
10000, 1, 1.85203, 3.34753, 4.93719, 6.33871
100000, 1, 1.78044, 3.49151, 35.161, 9.60693
1000000, 1, 1.6316, 2.30898, 3.33976, 3.4702
10000000, 1, 1.90188, 3.10315, 5.20431, 8.6359
