S=C=A=N: Thu Apr 24 22:47:31 2025: Collect start
/usr/bin/mpirun -n 2 mpi_send/main
1, 2.039
2, 0.752
4, 0.686
8, 0.683
16, 0.748
32, 0.756
64, 0.772
128, 0.807
256, 0.819
512, 0.851
1024, 0.960
2048, 1.312
4096, 1.680
8192, 1.835
16384, 2.160
32768, 2.772
65536, 3.796
131072, 5.880
262144, 9.721
524288, 17.644
1048576, 41.800
2097152, 126.184
4194304, 240.036
S=C=A=N: Thu Apr 24 22:47:34 2025: Collect done (status=0) 3s
